,L01,,,
əˈbændən|əˈbændən,abandon,v/n放弃|放纵,vt. 放弃，抛弃； 离弃，丢弃； 使屈从； 停止进行，终止|n. 放任，放纵； 完全屈从于压制；,abandon any attempt to ; smoke with reckless abandon
ə'bæʃ|əˈbæʃ,abash,v使害羞;使尴尬,vt. 使羞愧，使局促，使窘迫；|adj. 窘迫的，尴尬的；|adv. 窘迫地，尴尬地；|n. 窘迫，尴尬；,abash sb;She looked rather abashed.
əˈbeɪt|əˈbet,abate,v减轻;减少,vt. 减少，减轻； [法]取消法令，作废；|vi. 减轻； 失效；|n. 减轻； 折扣；,abate the noise
əˈbri:vieɪt|əˈbriviˌet,abbreviate,v缩短|缩写,vt. 使简短； 缩简； 缩略； 使用缩写词|n. 使用缩写词的人； 缩短，缩写（词、短语、名字、名称）；,be abbreviated to something ;abbreviate any descriptions very sharply
ˈæbdɪkeɪt|ˈæbdɪˌket,abdicate,v退位;辞职;放弃,vt. 放弃（职责、权力等）；|vi. 退位，逊位；|adj. 可以放弃的； 放弃权力的，退位的；|n. 放弃权力者，退位者；,abdicate responsibility ab- 表示“偏离***脱离或离开”之义;abdicate the throne
æˈberənt|æˈbɛrənt*** ˈæbə-,aberrant,adj越轨的|异常的,adj. 离开正路的； 与正确（或真实情况）相背的； <生物>异常的； 畸变的|n. 离开正路的人； <生物>畸变生物（群）； 畸变器官； 反常|adv. 反常地，异常地；,aberrant conditions exceptional errant`;aberrant human behavior
ˌæbəˈreɪʃn|ˌæbəˈreʃən,aberration,n离开正路|变形,n. 偏差，差错； 脱离常规，越轨； [医]心理失常，精神迷乱； [法]过失,a mental aberration
əˈbet|əˈbɛt,abet,v教唆;鼓励帮助,vt. 教唆（犯罪）； 煽动； 怂恿； 支持|n. 帮助；,abet sb in sth/doing sth;entice
əˈbeɪəns|əˈbeəns,abeyance,n中止;搁置,n. （法律、规则、习俗等）中止； 暂停； （法律、规则等）暂时失效； 处于暂时搁置（或中止）状态|adj. 暂时搁置的，所有权未定的，暂缓执行的；,The decision is in abeyance; obey v. 服从*** 顺从
əbˈhɔ:(r)|æbˈhɔr,abhor,v憎恨;嫌恶,vt. 憎恶； （厌恶地）回避； 拒绝； 淘汰|n. 厌恶者，拒绝者；,abominate;I abhor discrimination of any kind.
əbˈhɒrənt|əbˈhɔrənt,abhorrent,adj可恨的;讨厌的,adj. 令人厌恶的；|adv. 令人厌恶地；,The practice of killing animals for food is utterly abhorrent to me.
əˈbaɪd|əˈbaɪd,abide,v容忍;忍受,vt. 容忍，忍受； 等候； 遵守；|vi. 持续； 经受住，顶住； 居住，逗留；,can’t abide somebody ;abide by the referee’s decision.
ˈæbdʒekt|ˈæbˌdʒɛkt*** æbˈdʒɛkt,abject,adj极可怜的,adj. 卑鄙的，下贱的； （指境况）凄惨的； 轻蔑的，被鄙视的； 厚颜无耻的,an abject rival poor
əbˈdʒʊə(r)|əbˈdʒʊr,abjure,adj发誓放弃|弃绝,vt. 发誓放弃； 郑重放弃（意见）； 宣布撤回（声明等）； 避免|n. 发誓弃绝； 发誓弃绝者，正式放弃者；|adj. 发誓弃绝的，正式放弃的；,abjure a belief forswear forswear an oath
əb'lu:ʃən|əˈbluʃən*** æˈblu-,ablution,n净礼;沐浴,n. 净身礼； （常用复数）沐浴； 洗礼水； <英>（军营中的）公共浴室,perform one's ablution
æbnɪɡeɪt|ˈæbnɪˌɡet,abnegate,v否认;放弃,v. 放弃；,negate;abnegation ;abnegate her family;词根neg*** 否认，见negate
əˈbɒlɪʃ|əˈbɑlɪʃ,abolish,v废止;废除,vt. 废除，废止； 取消，革除； 消灭； 撤销,abolish slavery
ˌæbəˈlɪʃn|ˌæbəˈlɪʃən,abolition,n废除;革除,n. 废除； 废止； （常用A-）<美史>废除死刑； 〈美〉废除黑奴制度,the abolition of the death penalty
əˈbɒmɪneɪt|əˈbɑmɪneɪt,abominate,v痛恨;厌恶,vt. 憎恶，厌恶，不喜欢；|n. 憎恶者，厌恶者；,abhor;I abominate dancing;n. abomination
ə'bʌv'bɔ:d|ə'bʌv'boʊrd,aboveboard,adj光明正大的,adv.& adj. 正大光明的； 桌面儿上；,above board an aboveboard deed;aboveboard election
